s.no,batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,total_run_x,crr,rrr,results
6803,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,47,30,6,227,12,9.4,0
6804,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,46,29,6,227,11.93,9.52,0
6805,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,42,29,6,227,12.2,8.69,0
6806,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,42,28,6,227,12.07,9,0
6807,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,40,27,6,227,12.06,8.89,0
6808,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,36,26,6,227,12.19,8.31,0
6809,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,36,25,5,227,12.06,8.64,0
6810,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,35,24,5,227,12,8.75,0
6811,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,35,23,5,227,11.88,9.13,0
6812,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,35,23,4,227,11.88,9.13,0
6813,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,35,22,4,227,11.76,9.55,0
6814,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,35,21,4,227,11.64,10,0
6815,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,34,20,4,227,11.58,10.2,0
6816,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,33,19,4,227,11.52,10.42,0
6817,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,32,18,4,227,11.47,10.67,0
6818,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,31,17,4,227,11.42,10.94,0
6819,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,30,17,4,227,11.48,10.59,0
6820,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,30,16,3,227,11.37,11.25,0
6821,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,29,15,3,227,11.31,11.6,0
6822,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,29,14,3,227,11.21,12.43,0
6823,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,28,13,3,227,11.16,12.92,0
6824,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,22,12,3,227,11.39,11,0
6825,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,20,11,3,227,11.39,10.91,0
6826,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,19,10,3,227,11.35,11.4,0
6827,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,18,11,3,227,11.5,9.82,0
6828,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,17,10,3,227,11.45,10.2,0
6829,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,11,9,3,227,11.68,7.33,0
6830,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,11,8,3,227,11.57,8.25,0
6831,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,9,7,3,227,11.58,7.71,0
6832,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,9,6,2,227,11.47,9,0
6833,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,193,125,10,193,0,9.26,0
6834,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,187,119,10,193,36,9.43,0
6835,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,186,118,10,193,21,9.46,0
6836,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,182,117,10,193,22,9.33,0
6837,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,182,116,9,193,16.5,9.41,0
6838,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,181,115,9,193,14.4,9.44,0
6839,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,180,114,9,193,13,9.47,0
6840,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,180,113,9,193,11.14,9.56,0
6841,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,180,112,9,193,9.75,9.64,0
6842,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,179,111,9,193,9.33,9.68,0
6843,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,178,110,9,193,9,9.71,0
6844,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,177,109,9,193,8.73,9.74,0
6845,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,176,108,9,193,8.5,9.78,0
6846,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,175,107,9,193,8.31,9.81,0
6847,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,171,106,9,193,9.43,9.68,0
6848,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,170,107,9,193,10.62,9.53,0
6849,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,169,106,9,193,10.29,9.57,0
6850,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,168,105,9,193,10,9.6,0
6851,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,168,104,8,193,9.38,9.69,0
6852,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,168,103,8,193,8.82,9.79,0
6853,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,167,102,8,193,8.67,9.82,0
6854,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,167,101,8,193,8.21,9.92,0
6855,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,167,100,8,193,7.8,10.02,0
6856,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,166,99,8,193,7.71,10.06,0
6857,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,160,98,8,193,9,9.8,0
6858,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,160,97,8,193,8.61,9.9,0
6859,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,158,96,8,193,8.75,9.88,0
6860,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,157,95,8,193,8.64,9.92,0
6861,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,153,94,8,193,9.23,9.77,0
6862,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,153,93,8,193,8.89,9.87,0
6863,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,152,92,8,193,8.79,9.91,0
6864,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,152,91,8,193,8.48,10.02,0
6865,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,151,90,8,193,8.4,10.07,0
